納品データ,member_ id,種別,ニックネーム,スレッドURL,スレッドタイトル,スレッド本文,ルーム,テンション,タグ1,タグ2,タグ3,タグ4,タグ5,投稿日時
0313-0319,,,レオレオ,,作品によくあったエンドロール曲は？,"映画館で見ていてエンドロールと曲がぴったりだった曲を教えてください！
ハッピーエンドを連想する曲でお願いします！",映画音楽好き,今すぐ教えて！,映画,BGM,,,,2014/4/28 5:22
0313-0319,,,レオレオ,,回想シーンで流れそうな曲を教えて！,"回想シーンで使われそうな曲を教えてください！
映画の中の曲でもOKです！インストでお願いします！",映画音楽好き,今すぐ教えて！,映画,BGM,,,,2014/4/29 19:08
0313-0319,,,レオレオ,,シャーシャンクの空にの挿入歌はなに？,"刑務所で流していた曲のタイトルが知りたいです！いい曲だったので探しています！
知ってる方教えてください！",映画音楽好き,今すぐ教えて！,映画,BGM,,,,2014/4/29 9:15
0313-0319,,,レオレオ,,ロック調の曲が多い映画は？,"ロック調の曲が多く使われている映画を教えてください！
サントラも出ていたらお願いします！",映画音楽好き,ご意見求む,映画,,,,,2014/4/29 12:58
0313-0319,,,レオレオ,,どんな映画音楽が好き？,"どんな映画音楽を好んで聞きますか？
皆さんの良く聞くジャンルの映画音楽の意見を下さい！",映画音楽好き,ご意見求む,映画,,,,,2014/4/29 9:41
0313-0319,,,レオレオ,,シーンとマッチしていると思った音楽は？,"シーンとこの曲はマッチしているなと思った曲はなにかありますか？
インストでもボーカル有でも意見ください！",映画音楽好き,ご意見求む,映画,BGM,,,,2014/4/29 4:30
0313-0319,,,レオレオ,,この映画はこのアーティストが良かった,"この映画はしいて言うならこのアーティストにテーマ曲をやってほしかったとかありますか？
皆さんの秘めてる意見を下さい！",映画音楽好き,ご意見求む,映画,,,,,2014/4/28 17:29
0313-0319,,,レオレオ,,休日によく合う映画音楽は？,"休日に聴きたくなる映画音楽はどの作品でしょうか？
皆さんの意見を下さい！",映画音楽好き,ご意見求む,映画,,,,,2014/4/27 19:43
0313-0319,,,レオレオ,,一番有名な映画音楽は何？,"一番知名度の高い映画音楽はなんだと思いますか？
皆さんの意見を聞かせてください！",映画音楽好き,ご意見求む,映画,,,,,2014/4/29 5:15
0313-0319,,,レオレオ,,耳に残ってる映画音楽,"耳に残ってる映画音楽を挙げていきましょう！
ジャンルも国もどこでもOKです！",映画音楽好き,ＰＲさせて,映画,,,,,2014/4/27 22:50
0313-0319,,,レオレオ,,弾き語りで上手い人を教えて！,弾き語りが上手いアーティストを教えてください！邦楽でも洋楽でもどっちでもOKです！,音楽なんでも好き,今すぐ教えて！,懐かしの〇〇,,,,,2014/4/28 5:20
0313-0319,,,レオレオ,,STELLARって体で勝負してるんですか？,"PV見る限り歌より見た目というか、エロさで勝負しているように思えたんですが
やりすぎじゃないんでしょうか？みなさんはどう思いますか？",芸能音楽ニュース,ご意見求む,あるある,,,,,2014/4/30 3:50
0313-0319,,,レオレオ,,日本なのに韓国の話題大杉,"日本のネットなのに音楽ニュースも韓国の話題が多すぎる気がします。
求めている人がいるんでしょうか？みなさんはどう思いますか？",芸能音楽ニュース,ご意見求む,あるある,,,,,2014/4/29 9:15
0313-0319,,,レオレオ,,Silent　Sirenってどうなの？,"読モバンドのSilent　Sirenってどうなんでしょうか？
話題性はありますけどみなさんどう思いますか？",芸能音楽ニュース,ご意見求む,ファッション,,,,,2014/4/30 2:08
0313-0319,,,レオレオ,,赤西仁はどうするんでしょうか？,"契約更新しなかったようですが、これからどうするんでしょうか？
ファンの人的にはどうなんですか？",芸能音楽ニュース,ご意見求む,芸能人,,,,,2014/4/29 4:50
0313-0319,,,レオレオ,,高井俊輔さんについて皆さんはどう思いますか？,高井俊輔さんについて皆さんはどう思いますか？私はカッコイイと思います！,高井俊輔,みんなでわいわい,歌手,,,,,2014/4/30 0:19
0313-0319,,,レオレオ,,三代目 J Soul Brothersの魅力は？,"どんなところが魅力なのでしょうか？ヴィジュアル？楽曲？
語ってください！",三代目 J Soul Brothers,みんなでわいわい,J-POP,,,,,2014/4/30 2:03
0313-0319,,,レオレオ,,三代目 J Soul Brothersってどんな歌うたってるの？,"名前はたまに聞くんですが、どんな曲を歌っているのでしょうか？
教えてください！",三代目 J Soul Brothers,今すぐ教えて！,J-POP,,,,,2014/4/28 21:32
0313-0319,,,レオレオ,,三代目 J Soul Brothersの一代目はいたの？,"二代目とか初代はどこに行ったんでしょうか？というかいたんですか？
どう思いますか？",三代目 J Soul Brothers,ご意見求む,J-POP,,,,,2014/4/28 6:31
0313-0319,,,レオレオ,,山口 リサさんって綺麗ですよね,山口 リサさんって綺麗ですよね。綺麗と可愛いって違いますけど、具体的に何が違うのでしょうかね？,山口 リサ,みんなでわいわい,歌手,,,,,2014/4/30 0:47
0313-0319,,,レオレオ,,山口 一郎さんの髪型って？,山口 一郎さんの髪型ってマッシュというのですか？あの髪型いいですよね！前髪重めな感じの。,山口 一郎,みんなでわいわい,ファッション,,,,,2014/4/27 20:30
0313-0319,,,レオレオ,,森は生きているさんのジャンルって,森は生きているさんメンバーってたくさんのジャンルを好んでいますよね。皆さんはどのくらいジャンルを知っていますか？,森は生きている,みんなでわいわい,歌手,,,,,2014/4/29 10:25
0313-0319,,,レオレオ,,導楽の曲で感動した歌詞フレーズ,導楽の曲で感動した歌詞フレーズとかってありますか！？みんなで語りましょうー！,導楽,みんなでわいわい,レゲエ,,,,,2014/4/29 8:46
0313-0319,,,レオレオ,,髭(HiGE)さんはよく対バンをしている,髭(HiGE)さんって、よく対バンのLIVEをなさってますよね。対バンっていいですよね。,髭(HiGE),みんなでわいわい,歌手,,,,,2014/4/28 7:53
0313-0319,,,レオレオ,,カフェで流れるような曲を教えて！,"カフェで流れているような、ちょっとおしゃれな洋楽POPSを教えてください！
イメージはそのままカフェでお願いします！",洋楽POPS,今すぐ教えて！,洋楽POPS,癒し,カフェ,,,2014/4/29 21:56
0313-0319,,,レオレオ,,女性ボーカルのお勧めの曲を教えて！,"女性のボーカル曲でおすすめの曲を教えてください！
年代は問いません！",洋楽POPS,今すぐ教えて！,洋楽POPS,,,,,2014/4/29 10:01
0313-0319,,,レオレオ,,男性ボーカルのお勧めの曲を教えて！,"男性のボーカル曲のお勧めの曲を何曲か教えてください！
ゆっくりしたテンポの曲をお願いします！",洋楽POPS,今すぐ教えて！,洋楽POPS,,,,,2014/4/29 21:28
0313-0319,,,レオレオ,,UKのお勧めのPOP曲,"UKでおすすめのPOPSを教えてください！
できればちょっと最近の物でお願いします！",洋楽POPS,今すぐ教えて！,洋楽POPS,,,,,2014/4/29 9:02
0313-0319,,,レオレオ,,良く聞くアーティストは？,"良く聞く洋楽のPOPSのアーティストは誰ですか？
男性でも女性でもどっちもでOKです！",洋楽POPS,今すぐ教えて！,洋楽POPS,,,,,2014/4/30 4:28
0313-0319,,,レオレオ,,日本公演が今年ありそうなアーティストは？,"日本公演が今年ありそうなアーティストは誰がいますか？
教えてください！",洋楽POPS,今すぐ教えて！,洋楽POPS,,,,,2014/4/28 22:38
0313-0319,,,レオレオ,,来日してほしいアーティストは？,"今一番来日してほしいアーティストは誰ですか？
国も性別もとわないので教えてください！",洋楽POPS,今すぐ教えて！,洋楽POPS,,,,,2014/4/28 9:45
0313-0319,,,レオレオ,,世界的にはやってるPOPは？,"世界的に流行しているPOPSを教えてください！
最近の流行が知りたいです。",洋楽POPS,今すぐ教えて！,洋楽POPS,,,,,2014/4/29 23:12
0313-0319,,,レオレオ,,注目してるアーティストは？,注目してるアーティストは誰ですか？お勧めの曲もあったら教えてください！,洋楽POPS,今すぐ教えて！,洋楽POPS,,,,,2014/4/27 23:07
0313-0319,,,レオレオ,,疾走感のある曲を教えて！,"疾走感のある洋楽のPOPSを教えてください！
細かいジャンルはお任せします！",洋楽POPS,今すぐ教えて！,洋楽POPS,,,,,2014/4/29 7:01
0313-0319,,,レオレオ,,柔らかい声の曲を教えて！,"柔らかい感じのするPOPSの曲を教えてください！
女性でも男性でもボーカルはどっちでもOKです！",洋楽POPS,今すぐ教えて！,洋楽POPS,,,,,2014/4/29 14:39
0313-0319,,,レオレオ,,カラオケでも歌えそうな曲を教えて！,"カラオケでも歌えそうなPOPSの曲を教えてください！
できればあんまりテンポの速くないものでお願いします！",洋楽POPS,今すぐ教えて！,洋楽POPS,落ち込んでいる時,,,,2014/4/28 6:49
0313-0319,,,レオレオ,,ちょっとロックよりなポップスを教えて！,"ロックじゃないんだけど、若干ロック調のPOPSの曲を教えてください！
バンド形式じゃなくてもOKです！",洋楽POPS,今すぐ教えて！,洋楽POPS,,,,,2014/4/28 8:03
0313-0319,,,レオレオ,,女性ボーカルでR&Bも歌ってる人はいる？,"女性ボーカルのアーティストで、R&B調の曲を教えてください！
本格的なものでなくてもOKです！",洋楽POPS,今すぐ教えて！,洋楽POPS,,,,,2014/4/29 4:20
0313-0319,,,レオレオ,,昔の曲でおすすめを教えて！,"昔の洋楽POPSのお勧めの曲を教えてください！
ヒットした曲などあまり知らないのでお願いします！",洋楽POPS,今すぐ教えて！,洋楽POPS,,,,,2014/4/27 19:53
0313-0319,,,レオレオ,,移動中によさそうな曲を教えて！,"移動中に聴くのにいい感じの曲を教えてください！
明るい感じの楽曲でお願いします！",洋楽POPS,今すぐ教えて！,洋楽POPS,,,,,2014/4/29 22:27
0313-0319,,,レオレオ,,車内で流せる雰囲気の明るい曲を教えて！,"車内で流せる、会話を邪魔しないような曲を教えてください！
そういう曲が多いアーティストでもOKです！",洋楽POPS,今すぐ教えて！,洋楽POPS,アゲアゲ↑,,,,2014/4/29 8:59
0313-0319,,,レオレオ,,室内で小さい音で楽しめる曲を教えて！,"壁の薄いアパートなどで、小さな音量でも楽しめる曲を教えてください！
静かな曲でお願いします！",洋楽POPS,今すぐ教えて！,洋楽POPS,,,,,2014/4/29 6:17
0313-0319,,,レオレオ,,何歳頃から洋楽を聴いてますか,"何歳頃から洋楽を聞き始めましたか？
何がきかっけだったんでしょう？意見ください！",洋楽POPS,ご意見求む,洋楽POPS,,,,,2014/4/27 22:45
0313-0319,,,レオレオ,,20/20 エクスペリエンスは何故長い？,"ジャスティンティンバーレイクの去年のアルバムはなんであんなに楽曲が長いんでしょうか？
今までと感じが違いますよね？",洋楽POPS,ご意見求む,洋楽POPS,,,,,2014/4/28 14:27
0313-0319,,,レオレオ,,運動中に良く聞く曲は？,"運転中にみなさんは洋楽ならどんな曲を良く聞いていますか？
皆さんの意見ください！",洋楽POPS,ご意見求む,洋楽POPS,アゲアゲ↑,通勤・通学,,,2014/4/27 21:29
0313-0319,,,レオレオ,,電車の中で聞く曲は？,"電車の中で聞いてもアナウンスにかぶらないような曲ってあると思いますか？
皆さんの意見ください！",洋楽POPS,ご意見求む,洋楽POPS,,,,,2014/4/27 19:05
0313-0319,,,レオレオ,,歌唱力が高いと思うアーティストは？,"歌唱力に優れている、レベルの高いと思うアーティストは誰ですか？
皆さんの意見ください！",洋楽POPS,ご意見求む,洋楽POPS,,,,,2014/4/29 6:24
0313-0319,,,レオレオ,,落ち込んだ時に聴きたい曲は？,"落ち込んだ時に元気になれる曲ってどんな曲ですか？
歌詞の意味まで考えますか？",洋楽POPS,ご意見求む,洋楽POPS,落ち込んでいる時,,,,2014/4/28 4:10
0313-0319,,,レオレオ,,ノリで歌いきれそうな曲は？,"ノリで最後まで歌いきれそうな、勢いで行けそうな曲ってありますか？
みなさんの意見ください！",洋楽POPS,ご意見求む,洋楽POPS,,,,,2014/4/30 9:33
0313-0319,,,レオレオ,,日本でも宣伝してほしいアーティスト,"日本でももっと活動してほしいアーティストは誰かいますか？
なんで日本では活動が盛んではないんでしょうか？",洋楽POPS,ご意見求む,洋楽POPS,,,,,2014/4/30 7:51
0313-0319,,,レオレオ,,さわやかだと思う曲は？,"さわやかだと思う曲ってどんな曲ですか？
皆さんの意見ください！",洋楽POPS,ご意見求む,洋楽POPS,,,,,2014/4/27 18:33
0313-0319,,,レオレオ,,洋楽はなんでサンプリングやカバーが多い？,"洋楽の楽曲ってサンプリングやカヴァーがものすごく多いですよね？
なぜなんでしょうか？みなさんはどうおもいますか？",洋楽POPS,ご意見求む,洋楽POPS,,,,,2014/4/29 16:29
0313-0319,,,レオレオ,,洋楽は頻繁にコラボするのはなんでだと思いますか,"洋楽のアーティストが頻繁にコラボ作品を出すのはなんでなのでしょうか？
みなさんはどう感じますか・",洋楽POPS,ご意見求む,洋楽POPS,,,,,2014/4/28 22:02
0313-0319,,,レオレオ,,洋楽は動画サイトに良くあるけどなんでだと思いますか,"洋楽の曲の方が圧倒的に動画サイトのコンテンツが多いように
思うのですが、みなさんはどう思いますか？",洋楽POPS,ご意見求む,洋楽POPS,,,,,2014/4/29 21:56
0313-0319,,,レオレオ,,日本のチャートになぜ洋楽は少ない？,"日本のヒットチャートは何故海外の曲が少ないのでしょうか？
韓国か日本の曲しかありませんよね？たまに洋楽もありますけど。",洋楽POPS,ご意見求む,洋楽POPS,,,,,2014/4/28 5:06
0313-0319,,,レオレオ,,洋楽のいいところは？,"洋楽のいいところってなんなのでしょうか？
みなさんはどう感じますか？",洋楽POPS,ご意見求む,洋楽POPS,,,,,2014/4/29 17:18
0327-0402,,,レオレオ,,低予算で買えるいいCDは？,"低予算でも楽しめる洋楽CDって何がありますか？
皆さんの安く手に入れるための意見ください！",洋楽POPS,ご意見求む,洋楽POPS,,,,,2014/4/28 22:08
0327-0402,,,レオレオ,,あ、これ低予算だなと思ったPVを挙げていく,"低予算だけど出来がいい、なんか低予算っぽく見えるけど工夫が凄い
PVを挙げていきましょう！",洋楽POPS,ＰＲさせて,洋楽POPS,,,,,2014/4/29 17:42
0327-0402,,,レオレオ,,映画かよって思ったPVを挙げていく,映画か何かかと思うレベルのストーリーがあるPVを挙げていきましょう！,洋楽POPS,ＰＲさせて,洋楽POPS,,,,,2014/4/29 4:54
0327-0402,,,レオレオ,,夏っぽいPVの曲を挙げていく,"夏っぽい楽曲や夏を感じるPVを挙げていきましょう！
水着とかいいですよね。",洋楽POPS,ＰＲさせて,洋楽POPS,,,,,2014/4/29 10:11
0327-0402,,,レオレオ,,春を感じる柔らかい曲を挙げていく,"春を連想するような柔らかい楽曲を挙げていきましょう！
女性ボーカルが良いでしょうか。",洋楽POPS,ＰＲさせて,洋楽POPS,,,,,2014/4/29 11:08
0327-0402,,,レオレオ,,ジャケットで買ったCDを挙げていく,ジャケットに惹かれて事前知識なしで買ったCDを挙げていきましょう！,洋楽POPS,ＰＲさせて,洋楽POPS,,,,,2014/4/28 3:21
0327-0402,,,レオレオ,,難易度の低いダンス練習曲は？,"ダンス初心者にも比較的優しい、リズムの取りやすい曲を教えてください！
室内で練習したいので、激しすぎない物でお願いします。",踊り好き,今すぐ教えて！,ダンス,クラブ,,,,2014/4/29 21:17
0327-0402,,,レオレオ,,憧れのダンサーが出ているPVは？,"憧れているダンサーのテクニックが見れるPVを教えてください！
洋楽でも邦楽でもどっちでもOKです！",踊り好き,今すぐ教えて！,ダンス,クラブ,かっこいい,,,2014/4/29 0:37
0327-0402,,,レオレオ,,ライブのダンサーですごいと思った人は？,"ライブなどのバックダンサーですごいと思った人はいますか？
誰のライブだったのでしょうか？教えてください！",踊り好き,今すぐ教えて！,ダンス,クラブ,かっこいい,,,2014/4/29 22:15
0327-0402,,,レオレオ,,何系のダンスが好き？,何系のダンスが好きですか？お勧めのジャンルがあったら教えてください！,踊り好き,今すぐ教えて！,ダンス,クラブ,,,,2014/4/29 14:21
0327-0402,,,レオレオ,,ストリートで踊ったりしますか？,"ストリートダンスをやったりしますか？やってみたいとは思いますか？
やってる人は人数とか曲を教えてください！",踊り好き,今すぐ教えて！,ダンス,クラブ,,,,2014/4/28 18:26
0417-0423,,,きみどりみどろ,,ブジュ・バントンのおススメレゲエ名曲をおしえてください！,ブジュ・バントンのレゲエはいいですよね！ちょっと古いですけど、昔ながらのまさにレゲエという感じです。これぞ名曲！というのを教えて下さい！,BUJU BANTON,ゆるーくおしゃべり,レゲエ,,,,,2014/4/30 0:46
0417-0423,,,NYAH☆,,Allisterスコットの日本語力,日本の曲をたくさんカバーしてるスコットですが、日本語の発音がすごくうまいと思いませんか？意見を聞かせて下さい。,Allister,ゆるーくおしゃべり,パンク,,,,,2014/4/28 4:10
0417-0423,,,NYAH☆,,Block Bの新曲「JACKPOT」について,新曲発売の直前に起きた旅客船沈没事故の影響で新譜の発売が延期になってしまいました・・・早くリリースできるといいですね。PVはもうアップされてるので、自由に語りませんか。,Block B,ゆるーくおしゃべり,K-POP,,,,,2014/4/29 18:04
0417-0423,,,NYAH☆,,Cee Lo Greenの別ユニット,Cee Lo Greenはソロ名義ではもちろん、GNARLS BARKLEYというユニットでもヒットしてますが、どちらが好きとかありますか？魅力をいろいろ話しませんか？,Cee Lo Green,ゆるーくおしゃべり,ヒップホップ,,,,,2014/4/29 11:30
0417-0423,,,NYAH☆,,deadmau5のトレードマーク、ネズミの被り物について,deadmau5といえばネズミの被り物の姿が印象的ですね。ライブ映像をチェックすると、必ずかぶっている訳ではないようです。どう使いわけているのでしょうね。彼について知ってることをいろいろ聞きたいです。,deadmau5,ゆるーくおしゃべり,歌手,,,,,2014/4/28 20:53
0417-0423,,,NYAH☆,,DJ☆GOが立ち上げたレーベルについて,DJ☆GOは自身のレーベルRIDE RECORDZの代表も務めたり、スゴイですね。他にどんなアーティストが所属してるのでしょうか？いろんな顔を持つ、DJ☆GOについていろいろ話しましょう。,DJ☆GO,ゆるーくおしゃべり,歌手,,,,,2014/4/30 5:40
0417-0423,,,NYAH☆,,DEATH GRIPSのパフォーマンス,新譜のリリースの仕方やステージング、パフォーマンスすべてがかなり乱暴に感じるんですが、彼らが好きな方魅力をいろいろおしえて欲しいです。,DEATH GRIPS,ゆるーくおしゃべり,歌手,,,,,2014/4/29 18:23
0417-0423,,,NYAH☆,,DJ NOBUの新譜が聞きたい！,毎年１枚は新譜をリリースしてると思うのですが、今年もDJ NOBUの新しい音が聞きたいですね。今年も出すかなぁ。,DJ NOBU,ゆるーくおしゃべり,ダンス,,,,,2014/4/28 5:24
0417-0423,,,NYAH☆,,エドウィン・スターの「WAR」について,映画「ラッシュアワー」で使われたことでも有名な曲ですが、みなさんはどんな印象を持ちましたか？語り合いましょう。,Edwin Starr,ゆるーくおしゃべり,歌手,,,,,2014/4/28 21:50
0417-0423,,,ロビンソン,,AIちゃんのネクストステージに期待しましょう,『モリアガッチャイマシタ in 武道館』の映像作品が出ましたが、今年のAIちゃんはどんな活動をしていくのでしょうね。小さなことでいいので、彼女の近況を情報交換していきませんか？,AI,ゆるーくおしゃべり,歌手,J-POP,ソウル,,,2014/4/28 12:48
0417-0423,,,19みつき28,,ANGRY FROG REBIRTHのツアー☆,"ANGRY FROG REBIRTHのツアー『BRAVE NEW WORLD』始まりますね！！
ライブどんな感じなのかすごい気になります～！",ANGRY FROG REBIRTH,ゆるーくおしゃべり,歌手,,,,,2014/4/28 14:53
0417-0423,,,19みつき28,,今なおカッコよすぎるBig Daddy Kane,"Big Daddy Kaneって当時の曲とか今聴いても、PV見てもカッコいいですよね！！
Rawとか最高！！",Big Daddy Kane,ゆるーくおしゃべり,歌手,,,,,2014/4/28 16:00
0417-0423,,,トト,,Beatlesって改めて考えるとめっちゃ売れてたよね,確か当時のチャートで1位から5位まで埋めたっていうの見たけど、ほんとすごかったんだな。ほかにどんな伝説ある？,Beatles,みんなでわいわい,歌手,洋楽POPS,,,,2014/4/30 1:03
0417-0423,,,トト,,Beatlesがもしも今デビューしてたらジャンルは？,当時だったからあのジャンルで行ったんだろうけど、今デビューしてたらどんな感じになると思いますか？,Beatles,ご意見求む,歌手,洋楽POPS,,,,2014/4/30 5:40
0417-0423,,,トト,,DJ PMXはCDよりプレイの方がいいよね。,ライブの方がいいよ！って言われたんですけど、そんなに違うんでしょうか？,DJ PMX,みんなでわいわい,ダンス,,,,,2014/4/29 17:15
0417-0423,,,トト,,DJ PMXのMIXCDどうだった？,LocoHAMA CRUISING DJ PMX THE GREATEST HITS MIXみなさんは聴きましたか？どうでした？,DJ PMX,ご意見求む,ダンス,,,,,2014/4/28 15:19
0417-0423,,,トト,,miwaの空の彼方が気になる,"ＮＨＫドラマのテーマソングになったって報告から結構経ちますけど
いまだに楽曲情報なし、気になる！",miwa,みんなでわいわい,J-POP,歌手,,,,2014/4/28 17:57
0417-0423,,,トト,,miwaの女優デビューって,"どうなんでしょうか？本業に支障出るレベルじゃないのかなヒロインって。
大根なら大根で問題だろうし。",miwa,ご意見求む,J-POP,歌手,,,,2014/4/29 5:09
0417-0423,,,トト,,SEKAINOOWARIのツイッターが面白い,"日常的に書き込みのあるツイッター、フォローしてる人いますか？
結構面白いですよね！",SEKAINOOWARI ,みんなでわいわい,J-POP,,,,,2014/4/30 5:39
0417-0423,,,トト,,SEKAINOOWARIって声弄ってる？,"加工音声っぽいんだけどこれ弄ってるのかな？
ライブでもリアルタイム加工してる？すごくない？",SEKAINOOWARI ,ご意見求む,J-POP,,,,,2014/4/27 23:10
0417-0423,,,トト,,三代目 J Soul Brothersのツアーどう？,"参戦した人いますかー？今一番勢いあるツアーだと思うんで、感想とか
聞かせてください！",三代目 J Soul Brothers,みんなでわいわい,J-POP,,,,,2014/4/28 6:18
0417-0423,,,トト,,三代目 J Soul Brothersもでてるカジノ番組,"EXILEカジノ最近放送始まりましたけど、どうですか？
登坂のリフティング盛り上がったんでしょうか",三代目 J Soul Brothers,ご意見求む,J-POP,,,,,2014/4/30 6:20
0417-0423,,,トト,,Alexandra BurkeってXファクター二回でてたんだ,"2005年に受けた見たいだけど当時16歳で第二ステージって
何気に結構すごくないですか？",Alexandra Burke,ゆるーくおしゃべり,歌手,,,,,2014/4/28 0:00
0417-0423,,,トト,,AWOLNATIONタイアップできましたね,"悪の法則でタイアップだったのはやっぱ大きかったんでしょうか。
これからもうちょっと注目されるといいんですけど。",AWOLNATION,ゆるーくおしゃべり,歌手,,,,,2014/4/29 17:36
0417-0423,,,トト,,Chariceのカバー曲,"結構有名なのかな綾香のカバー曲。最近知って凄いハマってる。
この若さでこの歌唱力はちょっとすごい！",Charice,ゆるーくおしゃべり,歌手,,,,,2014/4/28 1:27
0417-0423,,,トト,,Chicで振り返るディスコブーム,"火付け役でしたよねシック。そのあともいろんな方面で活躍してるし。
久しぶりに聞いたらほんと懐かしい！",Chic,ゆるーくおしゃべり,歌手,,,,,2014/4/28 0:15
0417-0423,,,トト,,Chamの輸入盤持ってる人ー,"日本国内ではベスト出したっきり宣伝とか全くしてないシャムだけど
海外では普通に新曲出してるのかな？持ってる人いる？",Cham,ゆるーくおしゃべり,歌手,,,,,2014/4/27 21:51
0417-0423,,,トト,,Diploが絶賛してたけど,"マジでアルバムに参加したんだねディプロ。
なんか異常な完成度の曲あるなと思ったらｗ",Diplo,ゆるーくおしゃべり,歌手,,,,,2014/4/30 3:38
0417-0423,,,トト,,DJ KAWASAKIと藤井リナいいよね,"DJ　KAWASAKIと女性ボーカルって相性いいですよね！
音が綺麗なトラック多いからもっといろんなアーティストとコラボしてほしい！",DJ KAWASAKI,ゆるーくおしゃべり,ダンス,,,,,2014/4/27 23:53
0417-0423,,,トト,,DON-e去年アルバム出してたんだ,"リミックスばっかりで新曲出さないなぁって思ってたけど
出してたんですね！みんな聞いた？",DON-e,ゆるーくおしゃべり,歌手,,,,,2014/4/29 7:46
0417-0423,,,トト,,David Bowie復活した！,"グレイテストツアーとかやんないんですかね！
まさか復活するとは思いませんでしたね。
",David Bowie,ゆるーくおしゃべり,歌手,,,,,2014/4/29 12:32
0417-0423,,,トト,,DJ SHADOWのLesson 4/The Real Deal,"持ってる人日本に何人くらいいるんでしょうね？
もっとも入手が難しいレコードって響きカッコいいですよね！",DJ SHADOW,ゆるーくおしゃべり,歌手,,,,,2014/4/30 0:23
0417-0423,,,トト,,DARKSTARの移籍後のアルバム,"News from Nowhere凄い作りこまれてますよね。
複雑な音なのに自然に聞けるというか。好きな人います？",DARKSTAR,ゆるーくおしゃべり,歌手,,,,,2014/4/30 8:53
0417-0423,,,トト,,Don Omarって初期と雰囲気変わったよね,"初期と体型と歌の雰囲気だいぶ変わりましたよね。
どっちもいいんですけど威厳では昔の方があった？",Don Omar,ゆるーくおしゃべり,歌手,,,,,2014/4/29 7:10
0417-0423,,,トト,,Elle Varnerの二枚目のアルバム,"どんな楽曲で来るんでしょうね？デビューの評価が
すごく良かったんでちょっと違う方面でも曲聞いてみたいですよね。",Elle Varner,ゆるーくおしゃべり,歌手,,,,,2014/4/29 9:25
0417-0423,,,トト,,En Vogue分裂しちゃいましたね。,"まだ新生アンヴァオーグは発足してないみたいですけど、やっぱ不仲
だったんでしょうか。どっちを応援すればいいんでしょうね。",En Vogue,ゆるーくおしゃべり,歌手,,,,,2014/4/28 3:45
0417-0423,,,トト,,EXOのライブってそんな成功してたの？,"10万人定員で50万人応募ってマジなのかな。
名前は知ってたけど潜在的需要そんなにあったのか？",EXO,ゆるーくおしゃべり,歌手,,,,,2014/4/29 12:30
0417-0423,,,トト,,F.I.Bの中途ってもしかして,"あれ、久々に見たんだけど太ってないか？
あんだけ激しいライブなのになんで太ってんだ",F.I.B,ゆるーくおしゃべり,歌手,,,,,2014/4/29 19:00
0417-0423,,,トト,,Fabolousって結構客演で変わるよね,"R&BよりだったりPOPSよりだったり結構客演に左右されて曲調変わるよね。
それでもファボラスってしっかりわかるから凄い！",Fabolous,ゆるーくおしゃべり,歌手,,,,,2014/4/29 12:19
0417-0423,,,トト,,FAT PROPのライブって,"上京してからとする前じゃ結構違う？
最初の方しか知らないんだけど、しんどくないんかな？",FAT PROP,ゆるーくおしゃべり,歌手,,,,,2014/4/28 22:15
0417-0423,,,トト,,FIRE BALLがワンマンやってる,"個人的に洒落てて好きなんですけどワンマンで
回ってるの最近知りました。参戦する人います？",FIRE BALL,ゆるーくおしゃべり,歌手,,,,,2014/4/29 3:23
0417-0423,,,トト,,Fort Minorまたやってくれないかな,"シノダもリンキンで忙しいしそもそもメンツが多忙
すぎるんだろうけどまたやってほしいですよね。
完成度高すぎる！",Fort Minor,ゆるーくおしゃべり,歌手,,,,,2014/4/28 15:01
0417-0423,,,トト,,Foxy BrownのD.R.U.G.Z.,"去年音源出るって言ってたと思うんですけど、出ました？配信だけだったのかな。
復活来るかな？
",Foxy Brown,ゆるーくおしゃべり,歌手,,,,,2014/4/29 6:37
0417-0423,,,トト,,Freewayの髭どっちが良かった？,"Roc-A-Fella Records時代の凄い髭と、ソロになってからの
すっきり髭、どっちがみんなすき？",Freeway,ゆるーくおしゃべり,歌手,,,,,2014/4/29 18:51
0417-0423,,,トト,,Flowerがm-flo＋Flower＋はるな愛でコラボ！,"Girls Award2014で凄いコラボしてる！というかガールズなのに
なぜいるんだバーバルｗ",Flower,ゆるーくおしゃべり,歌手,,,,,2014/4/28 2:14
0417-0423,,,トト,,FIDLARのメンバー面白すぎる！,"写真が多い分カプラノスの面白さが伝わりやすい！
いつでも一人別世界のカプラノス大好きだ！",FIDLAR,ゆるーくおしゃべり,歌手,,,,,2014/4/29 19:29
0417-0423,,,トト,,Gameって最初名前って思わなかった,"アルバムのタイトルがGAMEなのかと思って最初アルバムタイトルが
アーティスト名だって勘違いしたよ",Game,ゆるーくおしゃべり,歌手,,,,,2014/4/28 9:49
0417-0423,,,トト,,Gang Starrの一番好きなアルバムは？,"名盤多いですよね、というか基礎になったグループか。
Full Clip: Decade of Gang Starrとかめっちゃいいですよね。",Gang Starr,ゆるーくおしゃべり,歌手,,,,,2014/4/28 3:27
0417-0423,,,トト,,GinuwineのELGIN,"デビューアルバム超えるアルバムは無いかと思ってましたけど、これかなりあたりですね！
R&Bにこの声はやっぱぴったり！",Ginuwine,ゆるーくおしゃべり,歌手,,,,,2014/4/29 20:28
